Apple	apple	アップル,あっぷる,APPLE,Apple Inc.
Jaeger-LeCoultre	jaeger-lecoultre	JLC,ジャガールクルト
Longines	longines	ロンジン
Tissot	tissot	ティソ
Swatch	swatch	スウォッチ

Nintendo	nintendo	任天堂
PlayStation	playstation	PS,ソニーPlayStation
Xbox	xbox	Microsoft Xbox
SEGA	sega	セガ
Square Enix	square enix	スクウェアエニックス
Capcom	capcom	カプコン
Bandai Namco	bandai namco	バンダイナムコ
Konami	konami	コナミ
Ubisoft	ubisoft	ユービーアイソフト
Electronic Arts	ea	EA
Activision	activision	アクティビジョン
Take-Two	take-two	テイクツー

LEGO	lego	レゴ
Takara Tomy	takara tomy	タカラトミー
Bandai	bandai	バンダイ
Hasbro	hasbro	ハズブロ
Mattel	mattel	マテル
Fisher-Price	fisher-price	フィッシャープライス
Playmobil	playmobil	プレイモービル

IKEA	ikea	イケア
NITORI	nitori	ニトリ
Herman Miller	herman miller	ハーマンミラー
Vitra	vitra	ヴィトラ
HAY	hay	HAY（インテリア）
BoConcept	boconcept	ボーコンセプト
Karimoku	karimoku	カリモク
Cassina	cassina	カッシーナ

3M	3m	スリーエム
P&G	p&g	プロクターアンドギャンブル,Procter & Gamble
Unilever	unilever	ユニリーバ
Kao	kao	花王
Lion	lion	ライオン
Shiseido	shiseido	資生堂
KOSÉ	kose	コーセー

Kodansha	kodansha	講談社
Shueisha	shueisha	集英社
Shogakukan	shogakukan	小学館
KADOKAWA	kadokawa	角川,カドカワ
Gakken	gakken	学研
Bungeishunju	bungeishunju	文藝春秋,文春
Hakusensha	hakusensha	白泉社
Akita Shoten	akita shoten	秋田書店
Tokuma Shoten	tokuma shoten	徳間書店

Fujifilm	fujifilm	富士フイルム,フジフイルム,FUJIFILM
Leica	leica	ライカ
Sigma	sigma	シグマ
Tamron	tamron	タムロン
GoPro	gopro	ゴープロ
DJI	dji	ディージェーアイ

Coleman	coleman	コールマン
Snow Peak	snow peak	スノーピーク
Montbell	montbell	モンベル
Marmot	marmot	マーモット
Gregory	gregory	グレゴリー
Osprey	osprey	オスプレー
Helinox	helinox	ヘリノックス

SK-II	sk-ii	SK2,エスケーツー
Kanebo	kanebo	カネボウ
POLA	pola	ポーラ
Estée Lauder	estee lauder	エスティローダー,Estee Lauder
Clinique	clinique	クリニーク

Francfranc	francfranc	フランフラン
ACTUS	actus	アクタス

Pigeon	pigeon	ピジョン
Combi	combi	コンビ
Aprica	aprica	アップリカ
Richell	richell	リッチェル
Pampers	pampers	パンパース
Merries	merries	メリーズ

Under Armour	under armour	アンダーアーマー
Mizuno	mizuno	ミズノ
Yonex	yonex	ヨネックス
Wilson	wilson	ウィルソン
Callaway	callaway	キャロウェイ
Titleist	titleist	タイトリスト
TaylorMade	taylormade	テーラーメイド
Specialized	specialized	スペシャライズド
Trek	trek	トレック
Giant	giant	ジャイアント

 Starbucks    スターバックス
